Player,Club,Pos,Price,Pts
S Campbell,Newcastle,DEF,1,-7
S Carr,Birmingham,DEF,2,38
S Carson,West Brom,GK,1.5,1
S Coleman,Everton,DEF,2.5,20
S Cox,West Brom,STR,1,21
S Crainey,Blackpool,DEF,1,17
S Dann,Birmingham,DEF,2,46
S Davies,Fulham,MID,1.5,19
S Distin,Everton,DEF,3.5,33
S Downing,Aston Villa,MID,4,59
S Ebanks-Blake,Wolves,STR,2,32
S Fletcher,Wolves,STR,2.5,28
S Gerrard,Liverpool,MID,8,70
S Given,Man City,GK,4,5
S Harper,Newcastle,GK,1.5,10
S Hunt,Wolves,MID,2.5,14
S Ireland,Aston Villa,MID,2.5,1
S Kalou,Chelsea,STR,4,64
S Kyrgiakos,Liverpool,DEF,3.5,46
S Larsson,Birmingham,MID,2.5,55
S Malbranque,Sunderland,MID,2.5,32
S Mouyokolo,Wolves,DEF,1.5,-7
S Nasri,Arsenal,MID,4,121
S Nzonzi,Blackburn,MID,2,19
S Parker,West Ham,MID,3.5,96
S Petrov,Aston Villa,MID,3,15
S Pienaar,Everton,MID,4.5,34
S Reid,West Brom,MID,1,18
S Ricketts,Bolton,DEF,1.5,17
S Sidwell,Aston Villa,MID,2.5,3
S Squillaci,Arsenal,DEF,4.5,28
S Taylor,Newcastle,DEF,1,1
S Ward,Wolves,DEF,1.5,-1
S Warnock,Aston Villa,DEF,3.5,6
S Wright-Phillips,Man City,MID,3,26
T Ben Haim,West Ham,DEF,1.5,10
T Bramble,Sunderland,DEF,2,45
T Cahill,Everton,MID,5,69
T Cohen,Bolton,MID,1,-1
T Hibbert,Everton,DEF,2,0
T Hitzlsperger,West Ham,MID,2.5,0
T Howard,Everton,GK,3.5,20
T Huddlestone,Tottenham,MID,3,24
T Rosicky,Arsenal,MID,4,26
T Sorensen,Stoke,GK,3,18
T Vermaelen,Arsenal,DEF,6,11
T Walcott,Arsenal,MID,4,83
V Behrami,West Ham,MID,2,20
V Corluka,Tottenham,DEF,4,10
V Grella,Blackburn,MID,1,2
V Kompany,Man City,DEF,3,88
V Moses,Wigan,MID,2,24
V Obinna,West Ham,STR,1.5,42
W Bridge,Man City,DEF,4,-1
W Brown,Man Utd,DEF,3.5,13
W Gallas,Tottenham,DEF,5,13
W Palacios,Tottenham,MID,2.5,-1
W Rooney,Man Utd,STR,8.5,18
W Routledge,Newcastle,MID,2,12
Y Benayoun,Chelsea,MID,4.5,22
Y Kaboul,Tottenham,DEF,3,15
Y Mulumbu,West Brom,MID,1,32
Y Toure,Man City,MID,3,58
Y Zhirkov,Chelsea,DEF,4,52
Yakubu,Everton,STR,4,19
Z Gera,Fulham,MID,2.5,44
Z Knight,Bolton,DEF,1.5,40
